org RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
 1020.0   00  1.5192 -1.588e-02  0.000  0.073    1.60  0.2309  0.755  0.127  0.845  0.407  1.000  1.220  0.988  0.406  0.159  0.056  0.021  0.007
55555.6   00  1.9200 -4.000e-01  0.000  0.073    1.60  0.0128  0.042  0.127  0.000  0.001  1.000  0.003  0.500  0.000  0.000  0.000  0.000  0.000
23529.4   00  1.9504 -2.567e-01  0.000  0.073    1.60  0.0121  0.039  0.127  0.000  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
17699.1   00  2.0592 -2.111e-01  0.000  0.073    1.60  0.0123  0.041  0.127  0.001  0.004  1.000  0.012  0.500  0.002  0.000  0.000  0.000  0.000
15037.6   00  1.4183 -2.162e-01  0.000  0.073    1.60  0.0244  0.080  0.127  0.000  0.004  1.000  0.012  0.500  0.002  0.000  0.000  0.000  0.000
13157.9   00  1.6178 -6.092e-02  0.000  0.073    1.60  0.0068  0.022  0.127  0.003  0.006  1.000  0.017  0.500  0.003  0.000  0.000  0.000  0.000
11111.1   00  1.7079 -4.714e-02  0.000  0.073    1.60  0.0059  0.019  0.127  0.007  0.009  1.000  0.025  0.500  0.004  0.000  0.000  0.000  0.000
 9708.7   00  1.8911 -9.467e-02  0.000  0.073    1.60  0.0120  0.039  0.127  0.008  0.012  1.000  0.036  0.500  0.005  0.000  0.000  0.000  0.000
 8849.6   00  2.7038 -3.254e-01  0.000  0.073    1.60  0.0207  0.068  0.127  0.013  0.022  1.000  0.067  0.501  0.007  0.000  0.000  0.000  0.000
 7782.1   00  1.2547 -6.366e-02  0.000  0.073    1.60  0.0160  0.053  0.127  0.001  0.014  1.000  0.040  0.501  0.009  0.000  0.000  0.000  0.000
 6968.6   00  1.4342 -6.037e-02  0.000  0.073    1.60  0.0146  0.047  0.127  0.010  0.018  1.000  0.054  0.501  0.011  0.000  0.000  0.000  0.000
 6097.6   00  1.4177 -2.496e-02  0.000  0.073    1.60  0.0072  0.024  0.127  0.026  0.023  1.000  0.070  0.502  0.013  0.000  0.000  0.000  0.000
 5154.6   00  1.4492 -1.321e-02  0.000  0.073    1.60  0.0047  0.016  0.127  0.093  0.033  1.000  0.099  0.504  0.019  0.001  0.000  0.000  0.000
 4618.9   00  1.4579 -1.330e-02  0.000  0.073    1.60  0.0055  0.018  0.127  0.112  0.041  1.000  0.123  0.506  0.024  0.001  0.000  0.000  0.000
 4319.7   00  1.4606 -1.051e-02  0.000  0.073    1.60  0.0049  0.016  0.127  0.199  0.047  1.000  0.140  0.508  0.027  0.001  0.000  0.000  0.000
 4016.1   00  1.4555 -5.172e-03  0.000  0.073    1.60  0.0033  0.011  0.127  0.347  0.054  1.000  0.160  0.511  0.031  0.002  0.000  0.000  0.000
 3418.8   00  1.4345 -6.693e-03  0.000  0.073    1.60  0.0054  0.018  0.127  0.372  0.070  1.000  0.211  0.518  0.042  0.003  0.000  0.000  0.000
 3444.7   00  1.4395 -6.193e-03  0.000  0.073    1.60  0.0051  0.017  0.127  0.393  0.069  1.000  0.209  0.518  0.041  0.003  0.000  0.000  0.000
 2777.0   00  1.4173 -2.410e-02  0.000  0.073    1.60  0.0195  0.064  0.127  0.184  0.101  1.000  0.302  0.537  0.062  0.007  0.001  0.000  0.000
 2320.2   00  1.4133 -6.521e-03  0.000  0.073    1.60  0.0129  0.042  0.127  0.553  0.135  1.000  0.405  0.565  0.088  0.013  0.002  0.000  0.000
 2044.2   00  1.4152 -6.883e-03  0.000  0.073    1.60  0.0190  0.062  0.127  0.651  0.165  1.000  0.496  0.595  0.111  0.020  0.004  0.001  0.000
 1778.4   00  1.4636 -1.643e-02  0.000  0.073    1.60  0.0435  0.142  0.127  0.597  0.209  1.000  0.625  0.642  0.144  0.030  0.007  0.002  0.000
 1455.2   00  1.5119 -2.229e-02  0.000  0.073    1.60  0.0921  0.301  0.127  0.671  0.277  1.000  0.834  0.734  0.209  0.057  0.015  0.005  0.001
 1270.3   00  1.5100 -1.934e-02  0.000  0.073    1.60  0.1276  0.418  0.127  0.751  0.325  1.000  0.976  0.818  0.271  0.086  0.025  0.008  0.003
  944.3   00  1.5211 -1.422e-02  0.000  0.073    1.60  0.2825  0.924  0.127  0.872  0.434  1.000  1.302  1.058  0.466  0.195  0.072  0.029  0.010
  693.5   00  1.5298 -6.951e-03  0.000  0.073    1.60  0.6088  1.990  0.127  0.954  0.534  1.000  1.600  1.380  0.771  0.401  0.183  0.088  0.038
  527.1   00  1.5300 -5.576e-03  0.000  0.073    1.60  1.0939  3.577  0.127  0.969  0.602  1.000  1.805  1.701  1.128  0.682  0.367  0.201  0.100
  399.8   00  1.5300 -5.006e-03  0.000  0.073    1.60  1.7482  5.716  0.127  0.974  0.650  1.000  1.951  2.022  1.531  1.053  0.653  0.401  0.229
