org RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
 2320.2   80  1.2969 -9.913e-03  0.000  0.086    1.60  0.0152  0.042  0.149  0.809  0.163  1.000  0.488  0.597  0.120  0.022  0.004  0.001  0.000
 2044.2   80  1.3209 -2.000e-03  0.000  0.086    1.60  0.0155  0.043  0.149  0.919  0.199  1.000  0.599  0.641  0.153  0.034  0.007  0.002  0.001
 1778.4   80  1.3362 -2.371e-03  0.000  0.086    1.60  0.0273  0.076  0.149  0.876  0.244  1.000  0.733  0.706  0.202  0.052  0.014  0.004  0.001
 1455.2   80  1.3509 -3.473e-03  0.000  0.086    1.60  0.0561  0.157  0.149  0.892  0.317  1.000  0.953  0.837  0.300  0.099  0.031  0.010  0.004
 1270.3   80  1.3523 -3.024e-03  0.000  0.086    1.60  0.0832  0.232  0.149  0.925  0.371  1.000  1.112  0.954  0.392  0.148  0.053  0.020  0.007
  944.3   80  1.3582 -2.243e-03  0.000  0.086    1.60  0.1941  0.542  0.149  0.965  0.489  1.000  1.468  1.291  0.686  0.335  0.148  0.067  0.030
  693.5   80  1.3624 -1.103e-03  0.000  0.086    1.60  0.4274  1.192  0.149  0.988  0.600  1.000  1.801  1.733  1.142  0.684  0.370  0.200  0.104
  527.1   80  1.3650 -8.811e-04  0.000  0.086    1.60  0.7897  2.201  0.149  0.993  0.678  1.000  2.034  2.154  1.654  1.146  0.718  0.440  0.258
  399.8   80  1.3694 -7.909e-04  0.000  0.086    1.60  1.3332  3.717  0.149  0.994  0.733  1.000  2.198  2.543  2.203  1.714  1.215  0.830  0.545
  329.1   80  1.3739 -6.824e-04  0.000  0.086    1.60  1.7978  5.012  0.149  0.996  0.758  1.000  2.274  2.765  2.553  2.122  1.613  1.174  0.825
  229.8   80  1.3902 -5.261e-03  0.000  0.086    1.60  2.5607  7.139  0.149  0.966  0.778  1.000  2.334  2.999  2.967  2.673  2.224  1.766  1.371
 7082.2   80  1.3267 -4.492e-03  0.000  0.086    1.60  0.0014  0.004  0.149  0.004  0.023  1.000  0.068  0.502  0.015  0.000  0.000  0.000  0.000
  300.0   90  1.3641 -6.660e-04  0.000  0.092    1.60  2.1054  5.507  0.159  0.996  0.778  1.000  2.335  2.952  2.862  2.506  2.017  1.549  1.155
  400.0   90  1.3548 -4.160e-04  0.000  0.092    1.60  1.3871  3.628  0.159  0.997  0.748  1.000  2.245  2.657  2.373  1.902  1.391  0.977  0.661
  440.0   90  1.3535 -4.157e-04  0.000  0.092    1.60  1.1791  3.084  0.159  0.997  0.733  1.000  2.199  2.533  2.182  1.688  1.188  0.807  0.527
  500.0   90  1.3512 -4.160e-04  0.000  0.092    1.60  0.9264  2.423  0.159  0.997  0.708  1.000  2.125  2.352  1.921  1.410  0.940  0.608  0.378
  550.0   90  1.3496 -4.990e-04  0.000  0.092    1.60  0.7626  1.995  0.159  0.996  0.687  1.000  2.061  2.209  1.726  1.214  0.773  0.481  0.287
  600.0   90  1.3486 -4.990e-04  0.000  0.092    1.60  0.6331  1.656  0.159  0.995  0.665  1.000  1.994  2.074  1.550  1.045  0.638  0.382  0.220
  675.0   90  1.3476 -5.823e-04  0.000  0.092    1.60  0.4856  1.270  0.159  0.994  0.631  1.000  1.893  1.889  1.322  0.838  0.480  0.273  0.149
  800.0   90  1.3448 -8.320e-04  0.000  0.092    1.60  0.3202  0.837  0.159  0.989  0.575  1.000  1.726  1.625  1.024  0.587  0.305  0.159  0.080
  870.0   90  1.3439 -1.006e-03  0.000  0.092    1.60  0.2583  0.676  0.159  0.985  0.545  1.000  1.635  1.500  0.892  0.485  0.239  0.119  0.057
 1000.0   90  1.3432 -1.290e-03  0.000  0.092    1.60  0.1792  0.469  0.159  0.978  0.491  1.000  1.474  1.303  0.700  0.344  0.154  0.071  0.032
 1020.0   90  1.3429 -1.324e-03  0.000  0.092    1.60  0.1697  0.444  0.159  0.977  0.483  1.000  1.450  1.277  0.675  0.327  0.144  0.066  0.029
55555.6   90  1.5638  8.340e-02  0.000  0.092    1.60  0.0000  0.000  0.159  0.000  0.001  1.000  0.004  0.500  0.001  0.000  0.000  0.000  0.000
23529.4   90  1.5537  1.045e-01  0.000  0.092    1.60  0.0000  0.000  0.159  0.000  0.003  1.000  0.008  0.500  0.002  0.000  0.000  0.000  0.000
17699.1   90  1.4637  1.311e-01  0.000  0.092    1.60  0.0000  0.000  0.159  0.000  0.004  1.000  0.013  0.500  0.003  0.000  0.000  0.000  0.000
15037.6   90  1.2844  1.221e-01  0.000  0.092    1.60  0.0000  0.000  0.159  0.000  0.006  1.000  0.017  0.500  0.004  0.000  0.000  0.000  0.000
13157.9   90  1.1938  1.048e-01  0.000  0.092    1.60  0.0000  0.000  0.159  0.000  0.007  1.000  0.021  0.500  0.005  0.000  0.000  0.000  0.000
11111.1   90  1.1928  3.241e-02  0.000  0.092    1.60  0.0000  0.000  0.159  0.000  0.010  1.000  0.030  0.500  0.007  0.000  0.000  0.000  0.000
 9708.7   90  1.2883  8.368e-03  0.000  0.092    1.60  0.0000  0.000  0.159  0.000  0.013  1.000  0.041  0.501  0.009  0.000  0.000  0.000  0.000
 8849.6   90  1.3865 -1.359e-02  0.000  0.092    1.60  0.0034  0.009  0.159  0.018  0.018  1.000  0.052  0.501  0.010  0.000  0.000  0.000  0.000
 7782.1   90  1.2947  6.561e-03  0.000  0.092    1.60  0.0000  0.000  0.159  0.000  0.021  1.000  0.063  0.502  0.013  0.000  0.000  0.000  0.000
 6968.6   90  1.3177  3.794e-03  0.000  0.092    1.60  0.0000  0.000  0.159  0.000  0.027  1.000  0.079  0.503  0.017  0.000  0.000  0.000  0.000
 6097.6   90  1.3237  3.342e-02  0.000  0.092    1.60  0.0000  0.000  0.159  0.000  0.034  1.000  0.103  0.505  0.022  0.001  0.000  0.000  0.000
 5154.6   90  1.3356  3.428e-04  0.000  0.092    1.60  0.0003  0.001  0.159  0.000  0.047  1.000  0.142  0.509  0.030  0.002  0.000  0.000  0.000
 4618.9   90  1.3399  4.295e-03  0.000  0.092    1.60  0.0000  0.000  0.159  0.000  0.058  1.000  0.174  0.514  0.036  0.003  0.000  0.000  0.000
 4319.7   90  1.3477  2.528e-03  0.000  0.092    1.60  0.0000  0.000  0.159  0.000  0.066  1.000  0.197  0.517  0.041  0.003  0.000  0.000  0.000
 4016.1   90  1.3591  1.230e-03  0.000  0.092    1.60  0.0010  0.003  0.159  1.000  0.075  1.000  0.226  0.522  0.048  0.004  0.000  0.000  0.000
 3418.8   90  1.4159  4.815e-03  0.000  0.092    1.60  0.0011  0.003  0.159  1.000  0.103  1.000  0.310  0.539  0.064  0.007  0.001  0.000  0.000
 3444.7   90  1.4112  4.024e-03  0.000  0.092    1.60  0.0014  0.004  0.159  1.000  0.101  1.000  0.305  0.538  0.063  0.007  0.001  0.000  0.000
 2777.0   90  1.2900  7.620e-02  0.000  0.092    1.60  0.0000  0.000  0.159  1.000  0.137  1.000  0.409  0.571  0.097  0.015  0.003  0.000  0.000
 2320.2   90  1.2864 -1.546e-02  0.000  0.092    1.60  0.0214  0.055  0.159  0.773  0.178  1.000  0.536  0.615  0.136  0.027  0.006  0.001  0.000
 2044.2   90  1.3125 -2.097e-03  0.000  0.092    1.60  0.0179  0.047  0.159  0.959  0.218  1.000  0.654  0.668  0.174  0.041  0.010  0.003  0.001
 1778.4   90  1.3249 -9.965e-04  0.000  0.092    1.60  0.0293  0.076  0.159  0.940  0.265  1.000  0.795  0.741  0.230  0.065  0.018  0.006  0.002
 1455.2   90  1.3365 -1.757e-03  0.000  0.092    1.60  0.0596  0.156  0.159  0.944  0.341  1.000  1.022  0.888  0.342  0.121  0.040  0.014  0.005
 1270.3   90  1.3383 -1.572e-03  0.000  0.092    1.60  0.0895  0.234  0.159  0.961  0.395  1.000  1.184  1.017  0.447  0.180  0.067  0.026  0.010
  944.3   90  1.3437 -1.181e-03  0.000  0.092    1.60  0.2090  0.547  0.159  0.981  0.514  1.000  1.542  1.382  0.775  0.398  0.185  0.088  0.041
  693.5   90  1.3476 -5.790e-04  0.000  0.092    1.60  0.4566  1.195  0.159  0.994  0.623  1.000  1.868  1.846  1.271  0.794  0.448  0.251  0.135
  527.1   90  1.3502 -4.638e-04  0.000  0.092    1.60  0.8325  2.178  0.159  0.997  0.697  1.000  2.091  2.273  1.813  1.300  0.845  0.535  0.325
  399.8   90  1.3548 -4.165e-04  0.000  0.092    1.60  1.3886  3.632  0.159  0.997  0.748  1.000  2.245  2.658  2.374  1.903  1.392  0.978  0.662
  329.1   90  1.3601 -3.602e-04  0.000  0.092    1.60  1.8607  4.867  0.159  0.998  0.771  1.000  2.314  2.871  2.721  2.320  1.813  1.354  0.978
  229.8   90  1.3777 -2.775e-03  0.000  0.092    1.60  2.6198  6.853  0.159  0.981  0.786  1.000  2.356  3.075  3.094  2.843  2.414  1.957  1.552
 7082.2   90  1.3188  4.472e-03  0.000  0.092    1.60  0.0000  0.000  0.159  0.000  0.026  1.000  0.077  0.503  0.016  0.000  0.000  0.000  0.000
  300.0   95  1.3566 -3.360e-04  0.000  0.099    1.60  2.2205  5.402  0.171  0.998  0.787  1.000  2.362  3.037  3.008  2.693  2.221  1.747  1.336
  400.0   95  1.3471 -2.100e-04  0.000  0.099    1.60  1.5001  3.650  0.171  0.998  0.762  1.000  2.286  2.766  2.543  2.097  1.581  1.143  0.796
  440.0   95  1.3454 -2.098e-04  0.000  0.099    1.60  1.2834  3.123  0.171  0.998  0.748  1.000  2.244  2.648  2.356  1.879  1.367  0.957  0.644
  500.0   95  1.3431 -2.100e-04  0.000  0.099    1.60  1.0182  2.477  0.171  0.998  0.726  1.000  2.177  2.473  2.093  1.589  1.097  0.733  0.470
  550.0   95  1.3414 -2.520e-04  0.000  0.099    1.60  0.8438  2.053  0.171  0.998  0.706  1.000  2.118  2.334  1.894  1.381  0.914  0.588  0.363
  600.0   95  1.3404 -2.520e-04  0.000  0.099    1.60  0.7050  1.715  0.171  0.998  0.685  1.000  2.056  2.199  1.712  1.199  0.762  0.473  0.282
  675.0   95  1.3394 -2.935e-04  0.000  0.099    1.60  0.5452  1.327  0.171  0.997  0.654  1.000  1.961  2.013  1.473  0.972  0.581  0.342  0.193
  800.0   95  1.3371 -4.200e-04  0.000  0.099    1.60  0.3641  0.886  0.171  0.995  0.601  1.000  1.803  1.743  1.154  0.693  0.377  0.205  0.107
  870.0   95  1.3363 -5.089e-04  0.000  0.099    1.60  0.2952  0.718  0.171  0.993  0.571  1.000  1.715  1.612  1.012  0.576  0.298  0.155  0.078
 1000.0   95  1.3351 -6.500e-04  0.000  0.099    1.60  0.2054  0.500  0.171  0.989  0.520  1.000  1.559  1.406  0.800  0.415  0.196  0.094  0.044
 1020.0   95  1.3348 -6.688e-04  0.000  0.099    1.60  0.1946  0.474  0.171  0.989  0.512  1.000  1.536  1.378  0.773  0.395  0.184  0.087  0.040
55555.6   95  1.5475  1.450e-01  0.000  0.099    1.60  0.0000  0.000  0.171  0.000  0.001  1.000  0.004  0.500  0.001  0.000  0.000  0.000  0.000
23529.4   95  1.5357  1.644e-01  0.000  0.099    1.60  0.0000  0.000  0.171  0.000  0.003  1.000  0.009  0.500  0.002  0.000  0.000  0.000  0.000
17699.1   95  1.4369  1.976e-01  0.000  0.099    1.60  0.0000  0.000  0.171  0.000  0.005  1.000  0.015  0.500  0.003  0.000  0.000  0.000  0.000
15037.6   95  1.2783  1.847e-01  0.000  0.099    1.60  0.0000  0.000  0.171  0.000  0.007  1.000  0.020  0.500  0.004  0.000  0.000  0.000  0.000
13157.9   95  1.1747  1.507e-01  0.000  0.099    1.60  0.0000  0.000  0.171  0.000  0.008  1.000  0.024  0.500  0.006  0.000  0.000  0.000  0.000
11111.1   95  1.1697  4.857e-02  0.000  0.099    1.60  0.0000  0.000  0.171  0.000  0.012  1.000  0.034  0.501  0.008  0.000  0.000  0.000  0.000
 9708.7   95  1.2611  1.857e-02  0.000  0.099    1.60  0.0000  0.000  0.171  0.000  0.015  1.000  0.047  0.501  0.010  0.000  0.000  0.000  0.000
 8849.6   95  1.3275  4.996e-03  0.000  0.099    1.60  0.0000  0.000  0.171  0.000  0.020  1.000  0.058  0.502  0.013  0.000  0.000  0.000  0.000
 7782.1   95  1.2964  1.379e-02  0.000  0.099    1.60  0.0000  0.000  0.171  0.000  0.025  1.000  0.073  0.502  0.015  0.000  0.000  0.000  0.000
 6968.6   95  1.3123  9.642e-03  0.000  0.099    1.60  0.0000  0.000  0.171  0.000  0.030  1.000  0.091  0.504  0.019  0.001  0.000  0.000  0.000
 6097.6   95  1.3195  4.827e-02  0.000  0.099    1.60  0.0000  0.000  0.171  0.000  0.039  1.000  0.118  0.506  0.025  0.001  0.000  0.000  0.000
 5154.6   95  1.3306  1.434e-03  0.000  0.099    1.60  0.0000  0.000  0.171  0.000  0.054  1.000  0.161  0.512  0.034  0.002  0.000  0.000  0.000
 4618.9   95  1.3345  6.943e-03  0.000  0.099    1.60  0.0000  0.000  0.171  0.000  0.066  1.000  0.198  0.517  0.042  0.003  0.000  0.000  0.000
 4319.7   95  1.3425  4.265e-03  0.000  0.099    1.60  0.0000  0.000  0.171  1.000  0.074  1.000  0.224  0.522  0.047  0.003  0.000  0.000  0.000
 4016.1   95  1.3547  2.087e-03  0.000  0.099    1.60  0.0010  0.003  0.171  1.000  0.085  1.000  0.256  0.528  0.055  0.005  0.001  0.000  0.000
 3418.8   95  1.4150  7.480e-03  0.000  0.099    1.60  0.0001  0.001  0.171  0.000  0.117  1.000  0.350  0.549  0.074  0.009  0.001  0.000  0.000
 3444.7   95  1.4099  6.249e-03  0.000  0.099    1.60  0.0008  0.002  0.171  0.000  0.115  1.000  0.345  0.548  0.073  0.008  0.001  0.000  0.000
 2777.0   95  1.2843  1.074e-01  0.000  0.099    1.60  0.0000  0.000  0.171  0.000  0.153  1.000  0.458  0.590  0.113  0.020  0.004  0.001  0.000
 2320.2   95  1.2805 -2.101e-02  0.000  0.099    1.60  0.0294  0.071  0.171  1.000  0.198  1.000  0.595  0.641  0.156  0.034  0.008  0.001  0.000
 2044.2   95  1.3077 -2.405e-03  0.000  0.099    1.60  0.0220  0.053  0.171  1.000  0.240  1.000  0.721  0.702  0.201  0.052  0.014  0.004  0.001
 1778.4   95  1.3189 -1.730e-04  0.000  0.099    1.60  0.0343  0.084  0.171  0.961  0.290  1.000  0.870  0.788  0.265  0.082  0.024  0.007  0.003
 1455.2   95  1.3283 -7.859e-04  0.000  0.099    1.60  0.0687  0.167  0.171  0.970  0.368  1.000  1.105  0.954  0.396  0.150  0.054  0.020  0.007
 1270.3   95  1.3305 -7.607e-04  0.000  0.099    1.60  0.1036  0.252  0.171  0.981  0.423  1.000  1.270  1.097  0.516  0.221  0.088  0.036  0.015
  944.3   95  1.3357 -5.951e-04  0.000  0.099    1.60  0.2393  0.582  0.171  0.991  0.541  1.000  1.624  1.488  0.883  0.476  0.234  0.116  0.056
  693.5   95  1.3394 -2.919e-04  0.000  0.099    1.60  0.5136  1.250  0.171  0.997  0.646  1.000  1.937  1.969  1.419  0.924  0.544  0.317  0.176
  527.1   95  1.3421 -2.342e-04  0.000  0.099    1.60  0.9185  2.235  0.171  0.998  0.715  1.000  2.145  2.397  1.983  1.473  0.993  0.650  0.408
  399.8   95  1.3471 -2.102e-04  0.000  0.099    1.60  1.5016  3.654  0.171  0.998  0.762  1.000  2.286  2.767  2.544  2.098  1.582  1.144  0.797
  329.1   95  1.3524 -1.819e-04  0.000  0.099    1.60  1.9800  4.817  0.171  0.999  0.782  1.000  2.346  2.965  2.878  2.515  2.018  1.546  1.147
  229.8   95  1.3708 -1.398e-03  0.000  0.099    1.60  2.7129  6.601  0.171  0.990  0.790  1.000  2.372  3.136  3.202  2.996  2.595  2.148  1.741
 7082.2   95  1.3142  1.103e-02  0.000  0.099    1.60  0.0000  0.000  0.171  0.000  0.030  1.000  0.089  0.503  0.019  0.001  0.000  0.000  0.000
  300.0   99  1.3507 -7.740e-05  0.000  0.117    1.60  2.5345  5.205  0.203  0.999  0.800  1.000  2.399  3.178  3.263  3.049  2.636  2.175  1.750
  400.0   99  1.3409 -4.840e-05  0.000  0.117    1.60  1.8464  3.792  0.203  1.000  0.785  1.000  2.355  2.974  2.886  2.518  2.017  1.543  1.142
  440.0   99  1.3392 -4.836e-05  0.000  0.117    1.60  1.6165  3.320  0.203  1.000  0.775  1.000  2.325  2.874  2.716  2.304  1.790  1.330  0.954
  500.0   99  1.3369 -4.840e-05  0.000  0.117    1.60  1.3207  2.712  0.203  1.000  0.758  1.000  2.274  2.722  2.469  2.006  1.489  1.061  0.728
  550.0   99  1.3349 -5.800e-05  0.000  0.117    1.60  1.1159  2.292  0.203  1.000  0.743  1.000  2.228  2.596  2.274  1.784  1.276  0.880  0.583
  600.0   99  1.3339 -5.800e-05  0.000  0.117    1.60  0.9495  1.950  0.203  1.000  0.726  1.000  2.178  2.472  2.088  1.583  1.091  0.728  0.467
  675.0   99  1.3329 -6.761e-05  0.000  0.117    1.60  0.7517  1.543  0.203  0.999  0.700  1.000  2.100  2.292  1.836  1.322  0.864  0.549  0.336
  800.0   99  1.3309 -9.670e-05  0.000  0.117    1.60  0.5188  1.065  0.203  0.999  0.655  1.000  1.965  2.022  1.484  0.982  0.589  0.348  0.198
  870.0   99  1.3301 -1.174e-04  0.000  0.117    1.60  0.4268  0.876  0.203  0.998  0.630  1.000  1.889  1.886  1.319  0.835  0.478  0.271  0.148
 1000.0   99  1.3289 -1.480e-04  0.000  0.117    1.60  0.3035  0.623  0.203  0.998  0.583  1.000  1.749  1.664  1.067  0.621  0.328  0.174  0.089
 1020.0   99  1.3286 -1.564e-04  0.000  0.117    1.60  0.2884  0.592  0.203  0.998  0.576  1.000  1.728  1.633  1.034  0.594  0.310  0.163  0.083
55555.6   99  1.5349  2.310e-01  0.000  0.117    1.60  0.0000  0.000  0.203  0.000  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
23529.4   99  1.5218  2.527e-01  0.000  0.117    1.60  0.0000  0.000  0.203  0.000  0.005  1.000  0.013  0.500  0.003  0.000  0.000  0.000  0.000
17699.1   99  1.4159  2.978e-01  0.000  0.117    1.60  0.0000  0.000  0.203  0.000  0.007  1.000  0.021  0.500  0.004  0.000  0.000  0.000  0.000
15037.6   99  1.2736  2.807e-01  0.000  0.117    1.60  0.0000  0.000  0.203  0.000  0.009  1.000  0.027  0.500  0.006  0.000  0.000  0.000  0.000
13157.9   99  1.1598  2.217e-01  0.000  0.117    1.60  0.0000  0.000  0.203  0.000  0.012  1.000  0.034  0.501  0.008  0.000  0.000  0.000  0.000
11111.1   99  1.1515  7.324e-02  0.000  0.117    1.60  0.0000  0.000  0.203  0.000  0.016  1.000  0.048  0.501  0.011  0.000  0.000  0.000  0.000
 9708.7   99  1.2399  3.183e-02  0.000  0.117    1.60  0.0000  0.000  0.203  0.000  0.021  1.000  0.064  0.502  0.014  0.000  0.000  0.000  0.000
 8849.6   99  1.2810  2.407e-02  0.000  0.117    1.60  0.0000  0.000  0.203  0.000  0.026  1.000  0.079  0.503  0.016  0.001  0.000  0.000  0.000
 7782.1   99  1.2978  2.330e-02  0.000  0.117    1.60  0.0000  0.000  0.203  0.000  0.034  1.000  0.101  0.504  0.021  0.001  0.000  0.000  0.000
 6968.6   99  1.3084  1.713e-02  0.000  0.117    1.60  0.0000  0.000  0.203  0.000  0.041  1.000  0.125  0.507  0.027  0.001  0.000  0.000  0.000
 6097.6   99  1.3161  7.142e-02  0.000  0.117    1.60  0.0000  0.000  0.203  0.000  0.054  1.000  0.162  0.512  0.035  0.002  0.000  0.000  0.000
 5154.6   99  1.3266  2.768e-03  0.000  0.117    1.60  0.0000  0.000  0.203  0.000  0.073  1.000  0.219  0.521  0.047  0.004  0.000  0.000  0.000
 4618.9   99  1.3303  1.079e-02  0.000  0.117    1.60  0.0000  0.000  0.203  0.000  0.089  1.000  0.266  0.530  0.058  0.005  0.001  0.000  0.000
 4319.7   99  1.3386  6.713e-03  0.000  0.117    1.60  0.0000  0.000  0.203  1.000  0.100  1.000  0.300  0.538  0.066  0.007  0.001  0.000  0.000
 4016.1   99  1.3513  3.285e-03  0.000  0.117    1.60  0.0018  0.004  0.203  1.000  0.114  1.000  0.342  0.548  0.075  0.010  0.001  0.000  0.000
 3418.8   99  1.4142  1.163e-02  0.000  0.117    1.60  0.0003  0.000  0.203  0.000  0.154  1.000  0.461  0.583  0.101  0.016  0.003  0.001  0.000
 3444.7   99  1.4088  9.691e-03  0.000  0.117    1.60  0.0014  0.003  0.203  0.000  0.152  1.000  0.454  0.581  0.100  0.016  0.003  0.001  0.000
 2777.0   99  1.2798  1.574e-01  0.000  0.117    1.60  0.0000  0.000  0.203  0.000  0.194  1.000  0.580  0.654  0.156  0.038  0.007  0.004  0.000
 2320.2   99  1.2760 -3.026e-02  0.000  0.117    1.60  0.0513  0.106  0.203  1.000  0.251  1.000  0.755  0.719  0.220  0.059  0.016  0.004  0.001
 2044.2   99  1.3041 -3.147e-03  0.000  0.117    1.60  0.0369  0.076  0.203  1.000  0.299  1.000  0.899  0.808  0.283  0.090  0.027  0.009  0.003
 1778.4   99  1.3139  5.903e-04  0.000  0.117    1.60  0.0551  0.113  0.203  0.987  0.355  1.000  1.063  0.924  0.374  0.137  0.048  0.018  0.006
 1455.2   99  1.3221  1.834e-05  0.000  0.117    1.60  0.1066  0.219  0.203  0.993  0.436  1.000  1.310  1.137  0.552  0.244  0.100  0.042  0.017
 1270.3   99  1.3246 -1.178e-04  0.000  0.117    1.60  0.1586  0.326  0.203  0.996  0.492  1.000  1.476  1.311  0.710  0.350  0.159  0.073  0.033
  944.3   99  1.3295 -1.335e-04  0.000  0.117    1.60  0.3505  0.720  0.203  0.998  0.603  1.000  1.808  1.754  1.167  0.704  0.385  0.210  0.110
  693.5   99  1.3329 -6.723e-05  0.000  0.117    1.60  0.7118  1.462  0.203  0.999  0.693  1.000  2.080  2.250  1.778  1.264  0.815  0.512  0.310
  527.1   99  1.3357 -5.393e-05  0.000  0.117    1.60  1.2045  2.474  0.203  1.000  0.750  1.000  2.249  2.653  2.362  1.883  1.370  0.959  0.645
  399.8   99  1.3409 -4.845e-05  0.000  0.117    1.60  1.8479  3.795  0.203  1.000  0.785  1.000  2.355  2.975  2.887  2.519  2.018  1.544  1.143
  329.1   99  1.3465 -4.193e-05  0.000  0.117    1.60  2.3226  4.770  0.203  1.000  0.798  1.000  2.394  3.130  3.168  2.901  2.452  1.976  1.547
  229.8   99  1.3656 -3.219e-04  0.000  0.117    1.60  2.9164  5.988  0.203  0.998  0.794  1.000  2.381  3.220  3.366  3.261  2.937  2.538  2.158
 7082.2   99  1.3108  1.946e-02  0.000  0.117    1.60  0.0000  0.000  0.203  0.000  0.040  1.000  0.121  0.506  0.026  0.001  0.000  0.000  0.000
