brc RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
 2044.2   50  1.3756 -6.006e-03  0.021  0.080    1.60  0.0199  0.060  0.139  0.748  0.184  1.000  0.554  0.619  0.132  0.026  0.005  0.001  0.000
 1778.4   50  1.4104 -1.027e-02  0.021  0.080    1.60  0.0404  0.121  0.139  0.687  0.229  1.000  0.688  0.675  0.173  0.041  0.009  0.003  0.001
 1455.2   50  1.4442 -1.428e-02  0.021  0.080    1.60  0.0852  0.255  0.139  0.739  0.301  1.000  0.904  0.788  0.253  0.077  0.022  0.007  0.002
 1270.3   50  1.4440 -1.250e-02  0.021  0.080    1.60  0.1203  0.360  0.139  0.806  0.352  1.000  1.055  0.888  0.330  0.116  0.038  0.013  0.005
  944.3   50  1.4530 -9.190e-03  0.021  0.080    1.60  0.2679  0.802  0.139  0.903  0.464  1.000  1.392  1.173  0.569  0.258  0.105  0.045  0.018
  693.5   50  1.4598 -4.501e-03  0.021  0.080    1.60  0.5742  1.719  0.139  0.966  0.567  1.000  1.701  1.548  0.940  0.526  0.261  0.133  0.063
  527.1   50  1.4609 -2.895e-03  0.021  0.080    1.60  1.0275  3.077  0.139  0.981  0.637  1.000  1.912  1.910  1.361  0.881  0.511  0.295  0.160
  399.8   50  1.4627 -2.254e-02  0.021  0.080    1.60  1.6700  5.001  0.139  0.884  0.697  1.000  2.091  2.276  1.853  1.350  0.900  0.579  0.360
  329.1   50  1.4647 -3.947e-02  0.021  0.080    1.60  2.1157  6.335  0.139  0.819  0.732  1.000  2.196  2.520  2.219  1.741  1.264  0.876  0.590
  229.8   50  1.4715 -4.577e-02  0.021  0.080    1.60  2.6903  8.056  0.139  0.790  0.765  1.000  2.294  2.822  2.726  2.370  1.930  1.494  1.135
 7082.2   50  1.3801 -3.275e-02  0.021  0.080    1.60  0.0090  0.027  0.139  0.041  0.021  1.000  0.061  0.502  0.013  0.000  0.000  0.000  0.000
  300.0   70  1.4481 -3.890e-02  0.021  0.083    1.60  2.3118  6.664  0.145  0.817  0.754  1.000  2.263  2.703  2.500  2.069  1.590  1.164  0.831
  400.0   70  1.4435 -1.900e-02  0.021  0.083    1.60  1.6625  4.792  0.145  0.898  0.708  1.000  2.125  2.357  1.962  1.462  0.996  0.654  0.414
  440.0   70  1.4427 -1.269e-02  0.021  0.083    1.60  1.4350  4.137  0.145  0.928  0.690  1.000  2.070  2.233  1.784  1.279  0.834  0.528  0.320
  500.0   70  1.4417 -2.740e-03  0.021  0.083    1.60  1.1364  3.276  0.145  0.983  0.662  1.000  1.986  2.061  1.549  1.054  0.645  0.389  0.222
  550.0   70  1.4408 -3.280e-03  0.021  0.083    1.60  0.9465  2.728  0.145  0.978  0.642  1.000  1.925  1.934  1.386  0.902  0.527  0.305  0.167
  600.0   70  1.4404 -3.280e-03  0.021  0.083    1.60  0.7918  2.283  0.145  0.977  0.621  1.000  1.862  1.815  1.241  0.773  0.431  0.240  0.126
  675.0   70  1.4397 -3.837e-03  0.021  0.083    1.60  0.6128  1.766  0.145  0.970  0.588  1.000  1.766  1.653  1.055  0.616  0.321  0.169  0.084
  800.0   70  1.4335 -5.470e-03  0.021  0.083    1.60  0.4034  1.163  0.145  0.949  0.536  1.000  1.609  1.431  0.817  0.431  0.203  0.098  0.045
  870.0   70  1.4322 -6.628e-03  0.021  0.083    1.60  0.3274  0.944  0.145  0.932  0.507  1.000  1.523  1.325  0.712  0.355  0.158  0.073  0.032
 1000.0   70  1.4326 -8.480e-03  0.021  0.083    1.60  0.2327  0.671  0.145  0.900  0.456  1.000  1.369  1.158  0.557  0.250  0.101  0.043  0.017
 1020.0   70  1.4321 -8.691e-03  0.021  0.083    1.60  0.2207  0.636  0.145  0.895  0.448  1.000  1.347  1.136  0.538  0.238  0.095  0.040  0.016
55555.6   70  1.7439 -6.690e-02  0.021  0.083    1.60  0.0029  0.008  0.145  0.000  0.001  1.000  0.003  0.500  0.001  0.000  0.000  0.000  0.000
23529.4   70  1.7545  2.415e-02  0.021  0.083    1.60  0.0000  0.000  0.145  0.000  0.003  1.000  0.007  0.500  0.001  0.000  0.000  0.000  0.000
17699.1   70  1.7652  7.801e-02  0.021  0.083    1.60  0.0000  0.000  0.145  0.000  0.004  1.000  0.013  0.500  0.002  0.000  0.000  0.000  0.000
15037.6   70  1.3522  6.407e-02  0.021  0.083    1.60  0.0000  0.000  0.145  0.000  0.005  1.000  0.015  0.500  0.003  0.000  0.000  0.000  0.000
13157.9   70  1.4085  1.105e-01  0.021  0.083    1.60  0.0000  0.000  0.145  0.000  0.007  1.000  0.019  0.500  0.004  0.000  0.000  0.000  0.000
11111.1   70  1.4537  2.185e-02  0.021  0.083    1.60  0.0000  0.000  0.145  0.000  0.010  1.000  0.028  0.500  0.006  0.000  0.000  0.000  0.000
 9708.7   70  1.5935 -3.062e-02  0.021  0.083    1.60  0.0056  0.016  0.145  0.014  0.013  1.000  0.040  0.501  0.007  0.000  0.000  0.000  0.000
 8849.6   70  2.0535 -1.605e-01  0.021  0.083    1.60  0.0216  0.062  0.145  0.013  0.020  1.000  0.061  0.501  0.008  0.000  0.000  0.000  0.000
 7782.1   70  1.2743 -1.933e-02  0.021  0.083    1.60  0.0055  0.016  0.145  0.000  0.018  1.000  0.052  0.501  0.011  0.000  0.000  0.000  0.000
 6968.6   70  1.3767 -2.161e-02  0.021  0.083    1.60  0.0062  0.018  0.145  0.417  0.022  1.000  0.068  0.503  0.014  0.000  0.000  0.000  0.000
 6097.6   70  1.3713  3.265e-02  0.021  0.083    1.60  0.0000  0.000  0.145  0.000  0.030  1.000  0.087  0.503  0.017  0.001  0.000  0.000  0.000
 5154.6   70  1.3931 -5.354e-03  0.021  0.083    1.60  0.0025  0.007  0.145  0.697  0.041  1.000  0.122  0.506  0.025  0.001  0.000  0.000  0.000
 4618.9   70  1.3997 -2.222e-04  0.021  0.083    1.60  0.0010  0.003  0.145  0.000  0.050  1.000  0.150  0.510  0.030  0.002  0.000  0.000  0.000
 4319.7   70  1.4049 -1.357e-03  0.021  0.083    1.60  0.0017  0.005  0.145  1.000  0.057  1.000  0.171  0.512  0.035  0.002  0.000  0.000  0.000
 4016.1   70  1.4078 -6.759e-04  0.021  0.083    1.60  0.0019  0.005  0.145  1.000  0.066  1.000  0.196  0.516  0.040  0.003  0.000  0.000  0.000
 3418.8   70  1.4252  4.059e-03  0.021  0.083    1.60  0.0006  0.002  0.145  0.000  0.088  1.000  0.264  0.528  0.053  0.005  0.001  0.000  0.000
 3444.7   70  1.4255  3.025e-03  0.021  0.083    1.60  0.0012  0.004  0.145  0.000  0.086  1.000  0.260  0.527  0.052  0.005  0.001  0.000  0.000
 2777.0   70  1.3544  8.880e-02  0.021  0.083    1.60  0.0000  0.000  0.145  0.000  0.120  1.000  0.362  0.556  0.081  0.011  0.002  0.000  0.000
 2320.2   70  1.3505 -2.314e-02  0.021  0.083    1.60  0.0262  0.075  0.145  1.000  0.159  1.000  0.477  0.591  0.112  0.019  0.004  0.001  0.000
 2044.2   70  1.3644 -5.764e-03  0.021  0.083    1.60  0.0208  0.060  0.145  1.000  0.194  1.000  0.583  0.632  0.143  0.030  0.006  0.002  0.000
 1778.4   70  1.3952 -8.507e-03  0.021  0.083    1.60  0.0405  0.117  0.145  0.686  0.240  1.000  0.720  0.693  0.186  0.047  0.011  0.003  0.001
 1455.2   70  1.4249 -1.208e-02  0.021  0.083    1.60  0.0850  0.245  0.145  0.757  0.313  1.000  0.939  0.814  0.275  0.087  0.026  0.008  0.002
 1270.3   70  1.4253 -1.056e-02  0.021  0.083    1.60  0.1210  0.349  0.145  0.826  0.364  1.000  1.092  0.920  0.358  0.130  0.043  0.016  0.006
  944.3   70  1.4335 -7.782e-03  0.021  0.083    1.60  0.2700  0.779  0.145  0.914  0.477  1.000  1.433  1.224  0.617  0.289  0.122  0.053  0.022
  693.5   70  1.4398 -3.807e-03  0.021  0.083    1.60  0.5764  1.662  0.145  0.969  0.581  1.000  1.742  1.617  1.014  0.583  0.299  0.156  0.077
  527.1   70  1.4412 -2.444e-03  0.021  0.083    1.60  1.0273  2.961  0.145  0.984  0.651  1.000  1.952  1.991  1.457  0.968  0.577  0.341  0.190
  399.8   70  1.4435 -1.904e-02  0.021  0.083    1.60  1.6640  4.796  0.145  0.898  0.708  1.000  2.125  2.358  1.963  1.463  0.997  0.655  0.415
  329.1   70  1.4462 -3.335e-02  0.021  0.083    1.60  2.1120  6.088  0.145  0.839  0.741  1.000  2.224  2.597  2.327  1.862  1.377  0.972  0.666
  229.8   70  1.4549 -3.870e-02  0.021  0.083    1.60  2.6996  7.782  0.145  0.811  0.771  1.000  2.311  2.880  2.812  2.481  2.045  1.604  1.235
 7082.2   70  1.3692 -2.328e-02  0.021  0.083    1.60  0.0067  0.020  0.145  0.202  0.022  1.000  0.065  0.502  0.013  0.000  0.000  0.000  0.000
  300.0   80  1.4350 -3.370e-02  0.021  0.086    1.60  2.3221  6.474  0.149  0.833  0.761  1.000  2.282  2.760  2.586  2.172  1.692  1.256  0.909
  400.0   80  1.4298 -1.650e-02  0.021  0.086    1.60  1.6692  4.653  0.149  0.908  0.717  1.000  2.152  2.425  2.055  1.560  1.083  0.723  0.466
  440.0   80  1.4289 -1.102e-02  0.021  0.086    1.60  1.4424  4.021  0.149  0.935  0.699  1.000  2.099  2.302  1.874  1.371  0.913  0.588  0.363
  500.0   80  1.4277 -2.380e-03  0.021  0.086    1.60  1.1457  3.194  0.149  0.984  0.673  1.000  2.019  2.130  1.636  1.135  0.711  0.436  0.255
  550.0   80  1.4266 -2.850e-03  0.021  0.086    1.60  0.9553  2.663  0.149  0.980  0.653  1.000  1.959  2.001  1.468  0.975  0.583  0.344  0.192
